"Name","Address","Description","URL"
"Madly Indian","342 Kerikeri Road, Kerikeri 0230, New Zealand","Rating: 3","https://businessandyandthefeerex.co.nz/reviews/2023/12/08/Madly-Indian/"
"Zane Grey's Restaurant & Bar","69 Marsden Road, Paihia 0200, New Zealand","Rating: 1","https://businessandyandthefeerex.co.nz/reviews/2023/12/08/Zane-Grey's-Restaurant-&-Bar/"
"Stratosfare Restaurant & Bar","178 Fairy Springs Road, Fairy Springs, Rotorua 3015, New Zealand","Rating: 1","https://businessandyandthefeerex.co.nz/reviews/2024/02/22/Stratosfare-Restaurant-&-Bar/"
"Autobahn Cafe","State Highway 1, Rosehill, Auckland 2113, New Zealand","Rating: 4","https://businessandyandthefeerex.co.nz/reviews/2024/03/18/Autobahn-Cafe/"
"Autobahn Cafe","State Highway 1, Rosehill, Auckland 2113, New Zealand","Rating: 1","https://businessandyandthefeerex.co.nz/reviews/2024/03/20/Autobahn-Cafe/"
"Ayhan’s Turkish Cafe","51 George St, Kensington WA 6151, Australia","Rating: 3","https://businessandyandthefeerex.co.nz/reviews/2024/07/19/Ayhan’s-Turkish-Cafe/"
"Urban Gusto","1122 Tutanekai Street, Rotorua 3010, New Zealand","Rating: 3","https://businessandyandthefeerex.co.nz/reviews/2024/11/02/Urban-Gusto/"
"The Rusty Bros","1263 Amohia Street, Rotorua 3010, New Zealand","Rating: 2","https://businessandyandthefeerex.co.nz/reviews/2024/11/03/The-Rusty-Bros/"
"A1 Takeaways Hong Kong Style BBQ","36 Rongotai Road, Kilbirnie, Wellington 6022, New Zealand","Rating: 2","https://businessandyandthefeerex.co.nz/reviews/2024/11/08/A1-Takeaways-Hong-Kong-Style-BBQ/"
"Kaimak","20 Johnsonville Road, Johnsonville, Wellington 6037, New Zealand","Rating: 3","https://businessandyandthefeerex.co.nz/reviews/2025/04/24/Kaimak/"
